CL-Symbol,Type,golisp2,Kurzbeschreibung
DELETE-IF,Kern,N,Return a sequence formed by destructively removing the elements satisfying the specified PREDICATE from the given SEQUENCE.
DELETE-IF-NOT,Kern,N,Return a sequence formed by destructively removing the elements not satisfying the specified PREDICATE from the given SEQUENCE.
DELETE-PACKAGE,Kern,N,Delete the package designated by PACKAGE-DESIGNATOR from the package system data structures.
DENOMINATOR,Kern,N,"Return the denominator of NUMBER, which must be rational."
DEPOSIT-FIELD,Kern,N,"Return new integer with newbyte in specified position, newbyte is not right justified."
DESCRIBE,Kern,N,Print a description of OBJECT to STREAM-DESIGNATOR.
DESCRIBE-OBJECT,Kern,N,Generic function: describes an object.
DESTRUCTURING-BIND,Macro,N,Bind the variables in LAMBDA-LIST to the corresponding values in the tree structure resulting from the evaluation of EXPRESSION.
DIGIT-CHAR,Kern,N,All arguments must be integers. Returns a character object that represents a digit of the given weight in the specified radix. Returns NIL if no such character exists.
DIGIT-CHAR-P,Kern,N,"If char is a digit in the specified radix, returns the fixnum for which that digit stands, else returns NIL."
DIRECTORY,Kern,N,"Return a list of PATHNAMEs, each the TRUENAME of a file matching PATHSPEC. Note that the interaction between this ANSI-specified TRUENAMEing and the semantics of the Unix filesystem (symbolic links..)"
DIRECTORY-NAMESTRING,Kern,N,Return a string representation of the directory in PATHNAME.
DISASSEMBLE,Kern,N,"Disassemble the compiled code associated with OBJECT, which can be a function, a lambda expression, or a symbol with a function definition. If it is not already compiled, the compiler is called to pro"
DIVISION-BY-ZERO,Kern,N,Condition type for division by zero.
DO,Macro,J,"DO ({(Var [Init] [Step])}*) (Test Exit-Form*) Declaration* Form* Iteration construct. Each Var is initialized in parallel to the value of the specified Init form. On subsequent iterations, the Vars ar"
DO*,Macro,J,DO* ({(Var [Init] [Step])}*) (Test Exit-Form*) Declaration* Form* Iteration construct. Each Var is initialized sequentially (like LET*) to the value of the specified Init form. On subsequent iteration
DO-ALL-SYMBOLS,Macro,N,DO-ALL-SYMBOLS (VAR [RESULT-FORM]) {DECLARATION}* {TAG | FORM}* Executes the FORMs once for each symbol in every package with VAR bound to the current symbol.
DO-EXTERNAL-SYMBOLS,Macro,N,DO-EXTERNAL-SYMBOLS (VAR [PACKAGE [RESULT-FORM]]) {DECL}* {TAG | FORM}* Executes the FORMs once for each external symbol in the given PACKAGE with VAR bound to the current symbol.
DO-SYMBOLS,Macro,N,DO-SYMBOLS (VAR [PACKAGE [RESULT-FORM]]) {DECLARATION}* {TAG | FORM}* Executes the FORMs at least once for each symbol accessible in the given PACKAGE with VAR bound to the current symbol.
DOCUMENTATION,Kern,N,"Return the documentation string of Doc-Type for X, or NIL if none exists. System doc-types are VARIABLE, FUNCTION, STRUCTURE, TYPE, SETF, and T. Function documentation is stored separately for functio"
DOLIST,Macro,J,Macro: iterates over list elements.
DOTIMES,Macro,J,Macro: iterates a counter from 0 to n-1.
DOUBLE-FLOAT,Kern,N,Type: double-precision float.
DOUBLE-FLOAT-EPSILON,Kern,N,Smallest double-float e with 1.0+e != 1.0.
DOUBLE-FLOAT-NEGATIVE-EPSILON,Kern,N,Smallest double-float e with 1.0-e != 1.0.
DPB,Kern,N,"Return new integer with newbyte in specified position, newbyte is right justified."
DRIBBLE,Kern,N,"With a file name as an argument, dribble opens the file and sends a record of further I/O to that file. Without an argument, it closes the dribble file, and quits logging."
DYNAMIC-EXTENT,Kern,N,Declaration: object has dynamic extent (limited lifetime).
ECASE,Macro,N,ECASE Keyform {({(Key*) | Key} Form*)}* Evaluates the Forms in the first clause with a Key EQL to the value of Keyform. If none of the keys matches then an error is signalled.
ECHO-STREAM,Kern,N,Type: stream echoing input to an output stream.
ECHO-STREAM-INPUT-STREAM,Kern,N,Reader: input stream of an echo-stream.
ECHO-STREAM-OUTPUT-STREAM,Kern,N,Reader: output stream of an echo-stream.
ED,Kern,N,Starts the editor (on a file or a function if named). Functions from the list *ED-FUNCTIONS* are called in order with X as an argument until one of them returns non-NIL; these functions are responsibl
EIGHTH,Kern,N,Return the 8th object in a list or NIL if there is no 8th object.
ELT,Kern,N,Return the element of SEQUENCE specified by INDEX.
ENCODE-UNIVERSAL-TIME,Kern,N,"The time values specified in decoded format are converted to universal time, which is returned."
END-OF-FILE,Kern,N,Condition type for end of file.
ENDP,Kern,N,"This is the recommended way to test for the end of a proper list. It returns true if OBJECT is NIL, false if OBJECT is a CONS, and an error for any other type of OBJECT."
ENOUGH-NAMESTRING,Kern,N,Return an abbreviated pathname sufficient to identify PATHNAME relative to DEFAULTS.
ENSURE-DIRECTORIES-EXIST,Kern,N,"Test whether the directories containing the specified file actually exist, and attempt to create them if they do not. The MODE argument is a CMUCL/SBCL-specific extension to control the Unix permissio"
ENSURE-GENERIC-FUNCTION,Kern,N,Ensures a generic function exists (creates if absent).
EQ,Kern,J,"Return T if OBJ1 and OBJ2 are the same object, otherwise NIL."
EQL,Kern,N,"Return T if OBJ1 and OBJ2 represent the same object, otherwise NIL."
EQUAL,Kern,N,Return T if X and Y are EQL or if they are structured components whose elements are EQUAL. Strings and bit-vectors are EQUAL if they are the same length and have identical components. Other arrays mus
EQUALP,Kern,N,"Just like EQUAL, but more liberal in several respects. Numbers may be of different types, as long as the values are identical after coercion. Characters may differ in alphabetic case. Vectors and arra"
ERROR,Kern,J,"Invoke the signal facility on a condition formed from DATUM and ARGUMENTS. If the condition is not handled, the debugger is invoked."
ETYPECASE,Macro,N,ETYPECASE Keyform {(Type Form*)}* Evaluates the Forms in the first clause for which TYPEP of Keyform and Type is true. If no form is satisfied then an error is signalled.
EVAL,Kern,J,"Evaluate the argument in a null lexical environment, returning the result or results."
EVAL-WHEN,Kern,J,"EVAL-WHEN (situation*) form* Evaluate the FORMS in the specified SITUATIONS (any of :COMPILE-TOPLEVEL, :LOAD-TOPLEVEL, or :EXECUTE, or (deprecated) COMPILE, LOAD, or EVAL)."
EVENP,Kern,N,Is this integer even?
EVERY,Kern,J,"Apply PREDICATE to the 0-indexed elements of the sequences, then possibly to those with index 1, and so on. Return NIL as soon as any invocation of PREDICATE returns NIL, or T if every invocation is n"
EXP,Kern,N,Return e raised to the power NUMBER.
EXPORT,Kern,N,"Exports SYMBOLS from PACKAGE, checking that no name conflicts result."
EXPT,Kern,J,Return BASE raised to the POWER.
EXTENDED-CHAR,Kern,N,Type of CHARACTERs that aren't BASE-CHARs.
FBOUNDP,Kern,N,Return true if name has a global function definition.
FCEILING,Kern,N,"Same as CEILING, but returns first value as a float."
FDEFINITION,Kern,N,Return name's global function definition taking care to respect any encapsulations and to return the innermost encapsulated definition. This is SETF'able.
FFLOOR,Kern,N,"Same as FLOOR, but returns first value as a float."
FIFTH,Kern,N,Return the 5th object in a list or NIL if there is no 5th object.
FILE-AUTHOR,Kern,N,"Return the author of the file specified by PATHSPEC. Signal an error of type FILE-ERROR if no such file exists, or if PATHSPEC is a wild pathname."
FILE-ERROR,Kern,N,Condition type for file errors.
FILE-ERROR-PATHNAME,Kern,N,Reader: pathname of a file-error condition.
FILE-LENGTH,Kern,N,Returns length of a file stream in units.
FILE-NAMESTRING,Kern,N,Return a string representation of the name in PATHNAME.
FILE-POSITION,Kern,N,Queries or sets position in a file stream.
FILE-STREAM,Kern,N,Type: stream backed by a file.
FILE-STRING-LENGTH,Kern,N,Width of a string when written to a file stream.
FILE-WRITE-DATE,Kern,N,"Return the write date of the file specified by PATHSPEC. An error of type FILE-ERROR is signaled if no such file exists, or if PATHSPEC is a wild pathname."
FILL,Kern,N,Replace the specified elements of SEQUENCE with ITEM.
FILL-POINTER,Kern,N,Return the FILL-POINTER of the given VECTOR.
FIND,Kern,N,Returns first element of a sequence eq to item.
FIND-ALL-SYMBOLS,Kern,N,Return a list of all symbols in the system having the specified name.
FIND-CLASS,Kern,N,Returns the class named by a symbol.
FIND-IF,Kern,N,Returns first element of a sequence satisfying predicate.
FIND-IF-NOT,Kern,N,Returns first element not satisfying predicate.
FIND-METHOD,Kern,N,Returns a method of a generic function.
FIND-PACKAGE,Kern,N,"If PACKAGE-DESIGNATOR is a package, it is returned. Otherwise PACKAGE-DESIGNATOR must be a string designator, in which case the package it names is located and returned. As an SBCL extension, the curr"
FIND-RESTART,Kern,N,"Return the first restart identified by IDENTIFIER. If IDENTIFIER is a symbol, then the innermost applicable restart with that name is returned. If IDENTIFIER is a restart, it is returned if it is curr"
FIND-SYMBOL,Kern,N,"Return the symbol named NAME in PACKAGE. If such a symbol is found then the second value is :INTERNAL, :EXTERNAL or :INHERITED to indicate how the symbol is accessible. If no symbol is found then both"
FINISH-OUTPUT,Kern,N,Flushes output and waits for completion (sync).
FIRST,Kern,J,Return the 1st object in a list or NIL if the list is empty.
FIXNUM,Kern,N,Type: machine-precision integer.
FLET,Kern,J,FLET ({(name lambda-list declaration* form*)}*) declaration* body-form* Evaluate the BODY-FORMS with local function definitions. The bindings do not enclose the definitions; any use of NAME in the FOR
FLOAT,Kern,N,"Converts any REAL to a float. If OTHER is not provided, it returns a SINGLE-FLOAT if NUMBER is not already a FLOAT. If OTHER is provided, the result is the same float format as OTHER."
FLOAT-DIGITS,Kern,N,Return a non-negative number of radix-b digits used in the representation of its argument.
FLOAT-PRECISION,Kern,N,Return a non-negative number of significant digits in its float argument. Will be less than FLOAT-DIGITS if denormalized or zero.
FLOAT-RADIX,Kern,N,Return (as an integer) the radix b of its floating-point argument.
FLOAT-SIGN,Kern,N,"Return a floating-point number that has the same sign as FLOAT1 and, if FLOAT2 is given, has the same absolute value as FLOAT2."
FLOATING-POINT-INEXACT,Kern,N,Condition: inexact floating-point operation.
FLOATING-POINT-INVALID-OPERATION,Kern,N,Condition: invalid floating-point operation.
FLOATING-POINT-OVERFLOW,Kern,N,Condition: floating-point overflow.
FLOATING-POINT-UNDERFLOW,Kern,N,Condition: floating-point underflow.
FLOATP,Kern,N,"Return true if OBJECT is a FLOAT, and NIL otherwise."
FLOOR,Kern,J,"Return number/divisor as an integer, rounded toward negative infinity. The second returned value is the remainder."
FMAKUNBOUND,Kern,N,Make NAME have no global function definition.
FORCE-OUTPUT,Kern,N,Flushes buffered output asynchronously.
FORMAT,Kern,J,"Provides various facilities for formatting output. CONTROL-STRING contains a string to be output, possibly with embedded directives, which are flagged with the escape character ""~"". Directives general"
FORMATTER,Macro,N,Macro: builds a format-like function from a control string.
FOURTH,Kern,J,Return the 4th object in a list or NIL if there is no 4th object.
FRESH-LINE,Kern,N,Writes a newline only if not already at line start.
FROUND,Kern,N,"Same as ROUND, but returns first value as a float."
FTRUNCATE,Kern,N,"Same as TRUNCATE, but returns first value as a float."
FTYPE,Kern,N,Declaration: function type signature.
FUNCALL,Kern,J,Call FUNCTION with the given ARGUMENTS.
FUNCTION,Kern,J,FUNCTION name Return the lexically apparent definition of the function NAME. NAME may also be a lambda expression.
FUNCTION-KEYWORDS,Kern,N,Reader: keyword args of a method.
FUNCTION-LAMBDA-EXPRESSION,Kern,N,"Return (VALUES DEFINING-LAMBDA-EXPRESSION CLOSURE-P NAME), where DEFINING-LAMBDA-EXPRESSION is NIL if unknown, or a suitable argument to COMPILE otherwise, CLOSURE-P is non-NIL if the function's defin"
FUNCTIONP,Kern,N,"Return true if OBJECT is a FUNCTION, and NIL otherwise."
GCD,Kern,J,"Return the greatest common divisor of the arguments, which must be integers. GCD with no arguments is defined to be 0."
GENERIC-FUNCTION,Kern,N,Type: generic function metaobject.
GENSYM,Kern,J,"Creates a new uninterned symbol whose name is a prefix string (defaults to ""G""), followed by a decimal number. Thing, when supplied, will alter the prefix if it is a string, or be used for the decimal"
GENTEMP,Kern,N,Creates a new symbol interned in package PACKAGE with the given PREFIX.
GET,Kern,N,"Look on the property list of SYMBOL for the specified INDICATOR. If this is found, return the associated value, else return DEFAULT."
GET-DECODED-TIME,Kern,N,"Return nine values specifying the current time as follows: second, minute, hour, date, month, year, day of week (0 = Monday), T (daylight savings times) or NIL (standard time), and timezone."
GET-DISPATCH-MACRO-CHARACTER,Kern,N,Return the macro character function for SUB-CHAR under DISP-CHAR or NIL if there is no associated function.
GET-INTERNAL-REAL-TIME,Kern,N,"Return the real time (""wallclock time"") since startup in the internal time format. (See INTERNAL-TIME-UNITS-PER-SECOND.)"
GET-INTERNAL-RUN-TIME,Kern,N,"Return the run time used by the process in the internal time format. (See INTERNAL-TIME-UNITS-PER-SECOND.) This is useful for finding CPU usage. Includes both ""system"" and ""user"" time."
GET-MACRO-CHARACTER,Kern,N,"Return the function associated with the specified CHAR which is a macro character, or NIL if there is no such function. As a second value, return T if CHAR is a macro character which is non-terminatin"
GET-OUTPUT-STREAM-STRING,Kern,N,Returns accumulated string of a string-output-stream.
GET-PROPERTIES,Kern,N,"Like GETF, except that INDICATOR-LIST is a list of indicators which will be looked for in the property list stored in PLACE. Three values are returned, see manual for details."
GET-SETF-EXPANSION,Kern,N,"Return five values needed by the SETF machinery: a list of temporary variables, a list of values with which to fill them, a list of temporaries for the new values, the setting function, and the access"
GET-UNIVERSAL-TIME,Kern,N,Return a single integer for the current time of day in universal time format.
GETF,Kern,N,"Search the property list stored in PLACE for an indicator EQ to INDICATOR. If one is found, return the corresponding value, else return DEFAULT."
GETHASH,Kern,J,"Finds the entry in HASH-TABLE whose key is KEY and returns the associated value and T as multiple values, or returns DEFAULT and NIL if there is no such entry. Entries can be added using SETF."
GO,Kern,J,GO tag Transfer control to the named TAG in the lexically enclosing TAGBODY. This is constrained to be used only within the dynamic extent of the TAGBODY.
GRAPHIC-CHAR-P,Kern,N,"The argument must be a character object. GRAPHIC-CHAR-P returns T if the argument is a printing character (space through ~ in ASCII), otherwise returns NIL."
HANDLER-BIND,Macro,N,(HANDLER-BIND ( {(type handler)}* ) body) Executes body in a dynamic context where the given handler bindings are in effect. Each handler must take the condition being signalled as an argument. The bi
HANDLER-CASE,Macro,N,"(HANDLER-CASE form { (type ([var]) body) }* ) Execute FORM in a context with handlers established for the condition types. A peculiar property allows type to be :NO-ERROR. If such a clause occurs, and"
HASH-TABLE,Kern,N,Type: hash table.
HASH-TABLE-COUNT,Kern,J,Return the number of entries in the given HASH-TABLE.
HASH-TABLE-P,Kern,J,Predicate: is the argument a hash-table?
HASH-TABLE-REHASH-SIZE,Kern,N,Return the rehash-size HASH-TABLE was created with.
HASH-TABLE-REHASH-THRESHOLD,Kern,N,Return the rehash-threshold HASH-TABLE was created with.
HASH-TABLE-SIZE,Kern,N,Return a size that can be used with MAKE-HASH-TABLE to create a hash table that can hold however many entries HASH-TABLE can hold without having to be grown.
HASH-TABLE-TEST,Kern,N,Return the test HASH-TABLE was created with.
HOST-NAMESTRING,Kern,N,Return a string representation of the name of the host in PATHNAME.
IDENTITY,Kern,J,This function simply returns what was passed to it.
IF,Kern,J,"IF predicate then [else] If PREDICATE evaluates to true, evaluate THEN and return its values, otherwise evaluate ELSE and return its values. ELSE defaults to NIL."
IGNORABLE,Kern,N,Declaration: variable may be ignored (no warning).
IGNORE,Kern,N,Declaration: variable is intentionally unused.
IGNORE-ERRORS,Macro,N,"Execute FORMS handling ERROR conditions, returning the result of the last form, or (VALUES NIL the-ERROR-that-was-caught) if an ERROR was handled."
IMAGPART,Kern,N,Extract the imaginary part of a number.
IMPORT,Kern,N,"Make SYMBOLS accessible as internal symbols in PACKAGE. If a symbol is already accessible then it has no effect. If a name conflict would result from the importation, then a correctable error is signa"
IN-PACKAGE,Macro,N,Macro: sets the current package.
INCF,Macro,N,"The first argument is some location holding a number. This number is incremented by the second argument, DELTA, which defaults to 1."
INITIALIZE-INSTANCE,Kern,N,Initializes a newly created instance (CLOS).
INLINE,Kern,N,Declaration: function should be inlined.
INPUT-STREAM-P,Kern,N,Can STREAM perform input operations?
INSPECT,Kern,N,Interactively inspects an object.
INTEGER,Kern,N,Type: integer (fixnum or bignum).
INTEGER-DECODE-FLOAT,Kern,N,Return three values: 1) an integer representation of the significand. 2) the exponent for the power of 2 that the significand must be multiplied by to get the actual value. This differs from the DECOD
INTEGER-LENGTH,Kern,N,Return the number of non-sign bits in the twos-complement representation of INTEGER.
INTEGERP,Kern,N,"Return true if OBJECT is an INTEGER, and NIL otherwise."
INTERACTIVE-STREAM-P,Kern,N,Is STREAM an interactive stream?
INTERN,Kern,J,"Return a symbol in PACKAGE having the specified NAME, creating it if necessary."
INTERNAL-TIME-UNITS-PER-SECOND,Kern,N,The number of internal time units that fit into a second. See GET-INTERNAL-REAL-TIME and GET-INTERNAL-RUN-TIME.
INTERSECTION,Kern,N,Return the intersection of LIST1 and LIST2.
INVALID-METHOD-ERROR,Kern,N,Signals an invalid method error.
INVOKE-DEBUGGER,Kern,N,Enter the debugger.
INVOKE-RESTART,Kern,N,"Calls the function associated with the given restart, passing any given arguments. If the argument restart is not a restart or a currently active non-nil restart name, then a CONTROL-ERROR is signalle"
INVOKE-RESTART-INTERACTIVELY,Kern,N,"Calls the function associated with the given restart, prompting for any necessary arguments. If the argument restart is not a restart or a currently active non-NIL restart name, then a CONTROL-ERROR i"
ISQRT,Kern,N,Return the greatest integer less than or equal to the square root of N.
KEYWORD,Kern,N,Type/package: keyword symbols.
KEYWORDP,Kern,N,"Return true if Object is a symbol in the ""KEYWORD"" package."
LABELS,Kern,J,"LABELS ({(name lambda-list declaration* form*)}*) declaration* body-form* Evaluate the BODY-FORMS with local function definitions. The bindings enclose the new definitions, so the defined functions ca"
LAMBDA,Macro,J,Macro: anonymous function (lambda (args) body).
LAMBDA-LIST-KEYWORDS,Kern,N,A list of symbols used as lambda list keywords in SBCL.
LAMBDA-PARAMETERS-LIMIT,Kern,N,The exclusive upper bound on the number of parameters which may be specified in a given lambda list. This is actually the limit on required and &OPTIONAL parameters. With &KEY and &AUX you can get mor
LAST,Kern,J,Return the last N conses (not the last element!) of a list.
LCM,Kern,N,Return the least common multiple of one or more integers. LCM of no arguments is defined to be 1.
LDB,Kern,N,"Extract the specified byte from integer, and right justify result."
LDB-TEST,Kern,N,Return T if any of the specified bits in integer are 1's.
LDIFF,Kern,N,"Return a new list, whose elements are those of LIST that appear before OBJECT. If OBJECT is not a tail of LIST, a copy of LIST is returned. LIST must be a proper list or a dotted list."
LEAST-NEGATIVE-DOUBLE-FLOAT,Kern,N,Largest (least negative) denormalized double-float.
LEAST-NEGATIVE-LONG-FLOAT,Kern,N,Largest (least negative) denormalized long-float.
LEAST-NEGATIVE-NORMALIZED-DOUBLE-FLOAT,Kern,N,Largest least-negative normalized double-float.
LEAST-NEGATIVE-NORMALIZED-LONG-FLOAT,Kern,N,Largest least-negative normalized long-float.
LEAST-NEGATIVE-NORMALIZED-SHORT-FLOAT,Kern,N,Largest least-negative normalized short-float.
LEAST-NEGATIVE-NORMALIZED-SINGLE-FLOAT,Kern,N,Largest least-negative normalized single-float.
LEAST-NEGATIVE-SHORT-FLOAT,Kern,N,Largest (least negative) denormalized short-float.
LEAST-NEGATIVE-SINGLE-FLOAT,Kern,N,Largest (least negative) denormalized single-float.
LEAST-POSITIVE-DOUBLE-FLOAT,Kern,N,Smallest positive denormalized double-float.
LEAST-POSITIVE-LONG-FLOAT,Kern,N,Smallest positive denormalized long-float.
LEAST-POSITIVE-NORMALIZED-DOUBLE-FLOAT,Kern,N,Smallest positive normalized double-float.
LEAST-POSITIVE-NORMALIZED-LONG-FLOAT,Kern,N,Smallest positive normalized long-float.
LEAST-POSITIVE-NORMALIZED-SHORT-FLOAT,Kern,N,Smallest positive normalized short-float.
LEAST-POSITIVE-NORMALIZED-SINGLE-FLOAT,Kern,N,Smallest positive normalized single-float.
LEAST-POSITIVE-SHORT-FLOAT,Kern,N,Smallest positive denormalized short-float.
LEAST-POSITIVE-SINGLE-FLOAT,Kern,N,Smallest positive denormalized single-float.
LENGTH,Kern,J,Return an integer that is the length of SEQUENCE.
LET,Kern,J,"LET ({(var [value]) | var}*) declaration* form* During evaluation of the FORMS, bind the VARS to the result of evaluating the VALUE forms. The variables are bound in parallel after all of the VALUES f"
LET*,Kern,J,"LET* ({(var [value]) | var}*) declaration* form* Similar to LET, but the variables are bound sequentially, allowing each VALUE form to reference any of the previous VARS."
LISP-IMPLEMENTATION-TYPE,Kern,N,Returns implementation type string.
LISP-IMPLEMENTATION-VERSION,Kern,N,Returns implementation version string.
LIST,Kern,J,Construct and return a list containing the objects ARGS.
LIST*,Kern,N,Return a list of the arguments with last cons a dotted pair.
LIST-ALL-PACKAGES,Kern,N,Return a list of all existing packages.
LIST-LENGTH,Kern,N,"Return the length of LIST, or NIL if LIST is circular."
LISTEN,Kern,N,Predicate: is input available on a stream?
LISTP,Kern,N,"Return true if OBJECT is a LIST, and NIL otherwise."
LOAD,Kern,J,"Load the file given by FILESPEC into the Lisp environment, returning T on success. The file type (a.k.a extension) is defaulted if missing. These options are defined: :IF-DOES-NOT-EXIST If :ERROR (the"
LOAD-LOGICAL-PATHNAME-TRANSLATIONS,Kern,N,"Reads logical pathname translations from SYS:SITE;HOST.TRANSLATIONS.NEWEST, with HOST replaced by the supplied parameter. Returns T on success. If HOST is already defined as logical pathname host, no "
LOAD-TIME-VALUE,Kern,N,"Arrange for FORM to be evaluated at load-time and use the value produced as if it were a constant. If READ-ONLY-P is non-NIL, then the resultant object is guaranteed to never be modified, so it can be"
LOCALLY,Kern,N,"LOCALLY declaration* form* Sequentially evaluate the FORMS in a lexical environment where the DECLARATIONS have effect. If LOCALLY is a top level form, then the FORMS are also processed as top level f"
LOG,Kern,N,"Return the logarithm of NUMBER in the base BASE, which defaults to e."
LOGAND,Kern,N,Return the bit-wise and of its arguments. Args must be integers.
LOGANDC1,Kern,N,Bitwise AND (LOGNOT INTEGER1) with INTEGER2.
LOGANDC2,Kern,N,Bitwise AND INTEGER1 with (LOGNOT INTEGER2).
LOGBITP,Kern,N,Predicate returns T if bit index of integer is a 1.
LOGCOUNT,Kern,N,"Count the number of 1 bits if INTEGER is non-negative, and the number of 0 bits if INTEGER is negative."
LOGEQV,Kern,N,Return the bit-wise equivalence of its arguments. Args must be integers.
LOGICAL-PATHNAME,Kern,N,Converts the pathspec argument to a logical-pathname and returns it.
LOGICAL-PATHNAME-TRANSLATIONS,Kern,N,Return the (logical) host object argument's list of translations.
LOGIOR,Kern,N,Return the bit-wise or of its arguments. Args must be integers.
LOGNAND,Kern,N,Complement the logical AND of INTEGER1 and INTEGER2.
LOGNOR,Kern,N,Complement the logical OR of INTEGER1 and INTEGER2.
LOGNOT,Kern,N,Return the bit-wise logical not of integer.
LOGORC1,Kern,N,Bitwise OR (LOGNOT INTEGER1) with INTEGER2.
LOGORC2,Kern,N,Bitwise OR INTEGER1 with (LOGNOT INTEGER2).
LOGTEST,Kern,N,Predicate which returns T if logand of integer1 and integer2 is not zero.
LOGXOR,Kern,N,Return the bit-wise exclusive or of its arguments. Args must be integers.
LONG-FLOAT,Kern,N,Type: long-precision float.
LONG-FLOAT-EPSILON,Kern,N,Smallest long-float e with 1.0+e != 1.0.
LONG-FLOAT-NEGATIVE-EPSILON,Kern,N,Smallest long-float e with 1.0-e != 1.0.
LONG-SITE-NAME,Kern,N,"Return a string with the long form of the site name, or NIL if not known."
LOOP,Macro,N,Macro: powerful iteration construct.
LOOP-FINISH,Macro,N,"Cause the iteration to terminate ""normally"", the same as implicit termination by an iteration driving clause, or by use of WHILE or UNTIL -- the epilogue code (if any) will be run, and any implicitly "
LOWER-CASE-P,Kern,N,"The argument must be a character object; LOWER-CASE-P returns T if the argument is a lower-case character, NIL otherwise."
MACHINE-INSTANCE,Kern,N,Return a string giving the name of the local machine.
MACHINE-TYPE,Kern,N,Return a string describing the type of the local machine.
MACHINE-VERSION,Kern,N,"Return a string describing the version of the computer hardware we are running on, or NIL if we can't find any useful information."
MACRO-FUNCTION,Kern,N,"If SYMBOL names a macro in ENV, returns the expansion function, else returns NIL. If ENV is unspecified or NIL, use the global environment only."
MACROEXPAND,Kern,J,"Repetitively call MACROEXPAND-1 until the form can no longer be expanded. Returns the final resultant form, and T if it was expanded. ENV is the lexical environment to expand in, or NIL (the default) "
MACROEXPAND-1,Kern,N,"If form is a macro (or symbol macro), expand it once. Return two values, the expanded form and a T-or-NIL flag indicating whether the form was, in fact, a macro. ENV is the lexical environment to expa"
MACROLET,Kern,J,"MACROLET ({(name lambda-list form*)}*) body-form* Evaluate the BODY-FORMS in an environment with the specified local macros defined. NAME is the local macro name, LAMBDA-LIST is a DEFMACRO style destr"
MAKE-ARRAY,Kern,N,Creates a new array.
MAKE-BROADCAST-STREAM,Kern,N,Creates a broadcast-stream over given streams.
MAKE-CONCATENATED-STREAM,Kern,N,"Return a stream which takes its input from each of the streams in turn, going on to the next at EOF."
MAKE-CONDITION,Kern,N,Make an instance of a condition object using the specified initargs.
MAKE-DISPATCH-MACRO-CHARACTER,Kern,N,"Cause CHAR to become a dispatching macro character in readtable (which defaults to the current readtable). If NON-TERMINATING-P, the char will be non-terminating."
MAKE-ECHO-STREAM,Kern,N,"Return a bidirectional stream which gets its input from INPUT-STREAM and sends its output to OUTPUT-STREAM. In addition, all input is echoed to the output stream."
MAKE-HASH-TABLE,Kern,J,"Create and return a new hash table. The keywords are as follows: :TEST Determines how keys are compared. Must a designator for one of the standard hash table tests, or a hash table test defined using "
MAKE-INSTANCE,Kern,N,Creates and initializes an instance of a class.
MAKE-INSTANCES-OBSOLETE,Kern,N,Marks instances of a class as obsolete.
MAKE-LIST,Kern,N,Construct and return a list with SIZE elements each set to INITIAL-ELEMENT.
MAKE-LOAD-FORM,Kern,N,Returns load-form for an object (compile-time).
MAKE-LOAD-FORM-SAVING-SLOTS,Kern,N,Load-form that saves an object's slots.
MAKE-METHOD,Kern,N,Method object for use in method combination.
MAKE-PACKAGE,Kern,N,"Make a new package having the specified NAME, NICKNAMES, and USE list. :INTERNAL-SYMBOLS and :EXTERNAL-SYMBOLS are estimates for the number of internal and external symbols which will ultimately be pr"
MAKE-PATHNAME,Kern,N,Makes a new pathname from the component arguments. Note that host is a host-structure or string.
MAKE-RANDOM-STATE,Kern,N,"Make a random state object. The optional STATE argument specifies a seed for deterministic pseudo-random number generation. As per the Common Lisp standard, - If STATE is NIL or not supplied, return a"
MAKE-SEQUENCE,Kern,N,"Return a sequence of the given RESULT-TYPE and LENGTH, with elements initialized to INITIAL-ELEMENT."
MAKE-STRING,Kern,N,"Given a character count and an optional fill character, makes and returns a new string COUNT long filled with the fill character."
MAKE-STRING-INPUT-STREAM,Kern,N,Return an input stream which will supply the characters of STRING between START and END in order.
MAKE-STRING-OUTPUT-STREAM,Kern,N,Return an output stream which will accumulate all output given it for the benefit of the function GET-OUTPUT-STREAM-STRING.
MAKE-SYMBOL,Kern,N,Make and return a new symbol with the STRING as its print name.
MAKE-SYNONYM-STREAM,Kern,N,Creates a synonym-stream for a symbol.
MAKE-TWO-WAY-STREAM,Kern,N,Return a bidirectional stream which gets its input from INPUT-STREAM and sends its output to OUTPUT-STREAM.
MAKUNBOUND,Kern,N,"Make SYMBOL unbound, removing any value it may currently have."
MAP,Kern,N,Applies a function across sequences into a result sequence.
MAP-INTO,Kern,N,Like map but writes into an existing sequence.
MAPC,Kern,N,Apply FUNCTION to successive tuples of elements of LIST and MORE-LISTS. Return LIST.
MAPCAN,Kern,N,Apply FUNCTION to successive tuples of elements of LIST and MORE-LISTS. Return NCONC of FUNCTION return values.
MAPCAR,Kern,J,Apply FUNCTION to successive tuples of elements of LIST and MORE-LISTS. Return list of FUNCTION return values.
MAPCON,Kern,N,Apply FUNCTION to successive tuples of CDRs of LIST and MORE-LISTS. Return NCONC of results.
MAPHASH,Kern,J,"For each entry in HASH-TABLE, call the designated two-argument function on the key and value of the entry. Return NIL. Consequences are undefined if HASH-TABLE is mutated during the call to MAPHASH, e"
MAPL,Kern,N,Apply FUNCTION to successive tuples of CDRs of LIST and MORE-LISTS. Return LIST.
